Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
AGPAT4-IT1,0.1,12.59,-15.27,2.58,0.0
AGPAT5,0.0,7.2,-7.99,0.45,0.34
AGPAT6,0.0,7.64,-6.77,-0.49,-0.39
AGPAT9,-0.39,-6.86,3.79,3.3,0.17
AGPHD1,-0.03,8.87,-11.68,2.83,0.0
AGPS,-0.03,1.95,-4.96,3.02,0.0
AGR2,0.0,0.52,-56.71,55.9,0.3
AGR3,0.0,0.52,-56.71,55.7,0.49
AGRN,-0.64,-22.84,11.91,11.08,0.49
AGRP,0.0,11.62,-14.61,2.98,0.0
AGSK1,-0.03,8.75,-11.36,2.63,0.0
AGT,0.0,1.44,-11.4,9.44,0.52
AGTPBP1,0.17,2.53,-11.34,8.48,0.14
AGTR1,-0.2,0.93,-11.18,10.27,0.17
AGTRAP,-0.2,-26.13,14.41,11.4,0.52
AGXT,-3.59,-0.33,0.9,3.22,-0.2
AGXT2,0.17,0.57,-6.64,6.1,-0.2
AGXT2L1,-0.03,-9.9,6.47,3.27,0.17
AGXT2L2,-0.07,-0.45,-5.45,6.36,-0.39
AHCTF1,-0.26,-0.25,-9.59,9.42,0.69
AHCY,0.0,2.7,-32.43,29.73,0.0
AHCYL1,-0.2,-31.5,21.15,10.37,0.17
AHCYL2,0.0,-0.09,-48.43,48.59,-0.07
AHDC1,0.17,-27.86,17.02,10.49,0.17
AHI1,-0.22,13.45,-16.03,2.8,0.0
AHNAK,0.0,13.17,-6.21,-6.58,-0.39
AHNAK2,0.34,6.77,-10.88,3.64,0.13
AHR,0.0,0.52,-56.37,55.55,0.3
AHRR,0.47,-0.5,-6.48,6.76,-0.25
AHSA1,0.14,5.23,-8.75,3.36,0.0
AHSA2,0.0,2.42,-4.49,1.9,0.17
AHSG,-0.03,1.88,-14.61,11.94,0.81
AHSP,0.17,9.04,-13.16,3.93,0.0
AICDA,0.34,6.11,-5.16,0.89,-2.18
AIDA,-0.03,2.25,-10.1,7.53,0.34
AIF1,0.0,7.92,-10.41,2.68,-0.2
AIF1L,0.0,2.59,-11.03,8.49,-0.05
AIFM2,0.34,66.95,-67.03,-0.44,0.17
AIFM3,0.34,19.48,-22.04,2.28,-0.05
AIG1,-0.22,12.92,-15.5,2.8,0.0
AIM1,0.0,11.12,-14.23,2.97,0.14
AIM1L,0.0,-28.25,17.93,10.15,0.17
AIM2,0.0,0.45,-9.75,9.33,-0.03
AIMP1,-0.05,-9.43,6.02,3.49,-0.03
AIMP2,-0.39,-0.09,-56.61,57.16,-0.07
AIP,0.0,13.22,-6.14,-6.69,-0.39
AIPL1,-0.2,12.87,-14.71,2.25,-0.22
AIRE,-0.03,2.53,-8.79,6.47,-0.2
AJAP1,-0.44,-19.55,9.6,10.39,0.0
AJUBA,0.0,16.93,-18.7,2.61,-0.83
AK1,0.0,2.29,-10.74,8.49,-0.05
AK2,0.0,-29.48,17.62,11.18,0.69
AK3,-0.65,14.35,-18.35,4.48,0.17
AK4,0.17,-32.37,21.37,10.66,0.17
AK5,-0.2,-31.54,21.1,10.83,-0.2
